GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
7805	8.23e-71	3.12e-75	0.526	18.353045	9.65096	3378.5	LAPTM5	lysosomal protein transmembrane 5
11309	1.07e-69	8.11e-74	0.559	18.17524	10.16136	2133.96	SLCO2B1	solute carrier organic anion transporter family member 2B1
81704	2.45e-69	2.78e-73	0.431	18.107447	7.802228	772.66	DOCK8	dedicator of cytokinesis 8
1536	1.01e-64	1.54e-68	0.685	17.496056	11.985667	2822.6	CYBB	cytochrome b-245 beta chain
2321	1.09e-64	2.06e-68	0.362	17.479381	6.320034	721.47	FLT1	fms related receptor tyrosine kinase 1
3689	4.25e-64	9.68e-68	0.551	17.39087	9.586541	1560.01	ITGB2	integrin subunit beta 2
221395	9.44e-64	2.50e-67	0.527	17.336279	9.134641	510.81	ADGRF5	adhesion G protein-coupled receptor F5
2212	1.21e-60	3.66e-64	0.476	16.912198	8.048114	1421.39	FCGR2A	Fc gamma receptor IIa
5787	3.46e-60	1.18e-63	0.313	16.843058	5.278921	433.85	PTPRB	protein tyrosine phosphatase receptor type B
8857	2.99e-59	1.13e-62	0.603	16.708657	10.074054	11088.92	FCGBP	Fc gamma binding protein
713	1.33e-58	5.55e-62	0.902	16.613627	14.988935	4941.87	C1QB	complement C1q B chain
4481	1.11e-57	5.07e-61	0.592	16.48051	9.760116	1839.84	MSR1	macrophage scavenger receptor 1
9938	2.51e-57	1.24e-60	0.435	16.42654	7.142782	227.17	ARHGAP25	Rho GTPase activating protein 25
2533	1.05e-56	5.55e-60	0.588	16.335105	9.610367	907.19	FYB1	FYN binding protein 1
2214	1.57e-55	8.94e-59	0.872	16.164718	14.096296	2072.91	FCGR3A	Fc gamma receptor IIIa
117289	1.93e-54	1.17e-57	0.378	16.005582	6.043756	164.99	TAGAP	T cell activation RhoGTPase activating protein
714	5.45e-54	3.51e-57	0.883	15.936879	14.074171	3365.94	C1QC	complement C1q C chain
5996	1.00e-53	6.83e-57	0.838	15.895315	13.326713	2004.73	RGS1	regulator of G protein signaling 1
84868	1.15e-53	8.29e-57	0.465	15.88317	7.378713	608.7	HAVCR2	hepatitis A virus cellular receptor 2
5724	1.57e-53	1.19e-56	0.477	15.860539	7.563474	439.84	PTAFR	platelet activating factor receptor
8832	3.98e-53	3.17e-56	0.671	15.798797	10.602403	1014.58	CD84	CD84 molecule
963	8.47e-52	7.07e-55	0.63	15.601895	9.83601	724.3	CD53	CD53 molecule
712	3.83e-51	3.34e-54	0.905	15.502433	14.034937	2550.96	C1QA	complement C1q A chain
3043	1.29e-50	1.18e-53	1.023	15.421267	15.778189	6651.05	HBB	hemoglobin subunit beta
9332	2.59e-50	2.45e-53	0.79	15.373906	12.15183	4754.05	CD163	CD163 molecule
6503	1.10e-49	1.08e-52	0.691	15.277553	10.556782	878.95	SLA	Src like adaptor
7143	3.59e-48	3.68e-51	0.737	15.045827	11.094742	3453.3	TNR	tenascin R
54209	4.30e-48	4.57e-51	0.647	15.031456	9.729439	715.38	TREM2	triggering receptor expressed on myeloid cells 2
718	1.69e-47	1.86e-50	0.603	14.938304	9.010557	15116.42	C3	complement C3
64231	1.93e-47	2.19e-50	0.874	14.927221	13.049123	1003.07	MS4A6A	membrane spanning 4-domains A6A
94	1.21e-46	1.42e-49	0.338	14.802242	5.000877	223.34	ACVRL1	activin A receptor like type 1
5341	1.26e-46	1.53e-49	0.546	14.797105	8.078384	407.13	PLEK	pleckstrin
3071	1.36e-46	1.70e-49	0.5	14.790153	7.401086	1130.11	NCKAP1L	NCK associated protein 1 like
6035	1.38e-46	1.78e-49	0.712	14.786846	10.535276	1122.4	RNASE1	ribonuclease A family member 1, pancreatic
285513	1.73e-46	2.30e-49	0.464	14.769586	6.85362	693.17	GPRIN3	GPRIN family member 3
7168	3.75e-46	5.12e-49	0.292	-14.715579	-4.302958	3445.2	TPM1	tropomyosin 1
6850	1.54e-45	2.15e-48	0.816	14.618075	11.931396	593.59	SYK	spleen associated tyrosine kinase
241	1.61e-45	2.32e-48	0.597	14.613152	8.721585	661.69	ALOX5AP	arachidonate 5-lipoxygenase activating protein
3684	2.65e-45	3.92e-48	0.646	14.577267	9.41219	506.66	ITGAM	integrin subunit alpha M
6688	4.59e-45	6.96e-48	0.515	14.537983	7.482162	403.95	SPI1	Spi-1 proto-oncogene
5265	5.64e-45	8.76e-48	0.861	14.52221	12.499225	685.23	SERPINA1	serpin family A member 1
7226	7.22e-45	1.15e-47	0.569	14.503652	8.250833	332.59	TRPM2	transient receptor potential cation channel subfamily M member 2
58475	1.08e-44	1.76e-47	0.872	14.47425	12.621642	957.7	MS4A7	membrane spanning 4-domains A7
1116	2.40e-44	4.01e-47	0.705	14.417661	10.162842	18259.48	CHI3L1	chitinase 3 like 1
221472	6.09e-44	1.04e-46	0.56	14.351781	8.038397	272.22	FGD2	FYVE, RhoGEF and PH domain containing 2
1441	1.25e-43	2.19e-46	0.593	14.300015	8.482239	404.88	CSF3R	colony stimulating factor 3 receptor
2207	1.28e-43	2.31e-46	0.489	14.296228	6.990025	442.41	FCER1G	Fc epsilon receptor Ig
199	1.28e-43	2.33e-46	0.631	14.295746	9.017614	448.96	AIF1	allograft inflammatory factor 1
5788	2.89e-43	5.36e-46	0.541	14.237478	7.701525	1369.9	PTPRC	protein tyrosine phosphatase receptor type C
22797	3.46e-43	6.56e-46	0.466	14.223434	6.628696	327.84	TFEC	transcription factor EC
4973	9.35e-43	1.81e-45	0.649	14.152305	9.183061	638.43	OLR1	oxidized low density lipoprotein receptor 1
474344	1.53e-42	3.01e-45	0.801	14.116281	11.31382	387.09	GIMAP6	GTPase, IMAP family member 6
112268112	3.06e-42	6.15e-45	0.549	14.065904	7.717792	631.43	LOC112268112	
5777	4.03e-42	8.25e-45	0.398	14.045103	5.587322	244.34	PTPN6	protein tyrosine phosphatase non-receptor type 6
55061	1.12e-41	2.34e-44	0.512	13.971172	7.152553	216.21	SUSD4	sushi domain containing 4
105377700	1.45e-41	3.08e-44	0.192	-13.951412	-2.680999	90.63	LOC105377700	uncharacterized LOC105377700
3937	1.47e-41	3.19e-44	0.48	13.949099	6.70177	387.93	LCP2	lymphocyte cytosolic protein 2
7305	1.70e-41	3.74e-44	0.842	13.937749	11.731043	663.34	TYROBP	transmembrane immune signaling adaptor TYROBP
54440	2.17e-41	4.85e-44	0.436	13.919125	6.068311	344.74	SASH3	SAM and SH3 domain containing 3
89857	2.35e-41	5.35e-44	0.539	13.91206	7.492324	198.73	KLHL6	kelch like family member 6
3903	2.94e-41	6.80e-44	0.861	13.894898	11.967035	608.38	LAIR1	leukocyte associated immunoglobulin like receptor 1
3039	3.07e-41	7.22e-44	0.738	13.890592	10.257287	1006.5	HBA1	hemoglobin subunit alpha 1
1524	5.79e-41	1.38e-43	0.747	13.844041	10.343508	778.06	CX3CR1	C-X3-C motif chemokine receptor 1
11326	6.42e-41	1.56e-43	0.946	13.835455	13.086128	2184.27	VSIG4	V-set and immunoglobulin domain containing 4
153020	8.30e-41	2.04e-43	0.397	13.815902	5.484441	256.49	RASGEF1B	RasGEF domain family member 1B
28959	9.66e-41	2.42e-43	0.689	13.803812	9.516929	768.08	TMEM176B	transmembrane protein 176B
57221	3.25e-40	8.26e-43	0.4	13.714932	5.490469	1417.15	ARFGEF3	ARFGEF family member 3
11314	3.76e-40	9.70e-43	0.807	13.703342	11.060778	252.77	CD300A	CD300a molecule
55303	4.10e-40	1.07e-42	0.826	13.696109	11.306326	384.79	GIMAP4	GTPase, IMAP family member 4
3603	5.69e-40	1.51e-42	0.325	13.671157	4.441346	190.68	IL16	interleukin 16
7018	6.90e-40	1.86e-42	0.588	13.65609	8.023246	2380.13	TF	transferrin
